species,long,lat
Absarokius_abbotti_55.8,-88.41,43.56
Absarokius_abbotti_55.8,-87.16,46.96
Absarokius_abbotti_55.8,-90.21,46.89
Acrecebus_fraileyi_7.5,-68.64,-11.92
Adapis_parisiensis_41.3,-2.15,46.6
Adapis_parisiensis_41.3,-3.03,41.99
Adapis_parisiensis_41.3,0.34,41.49
Adapis_parisiensis_41.3,-2.4,41.11
Adapis_parisiensis_41.3,-3.19,41.75
Adapis_parisiensis_41.3,-6.96,47.85
Adapis_parisiensis_41.3,-3.07,38.78
Aegyptopithecus_zeuxis_33.9,25.78,24.56
Afradapis_longicristatus_38,25.48,24.17
Aframonius_diedies_33.9,25.7,24.61
Afrasia_djijidae_41.3,91.02,19.52
Afropithecus_turkanensis_22.4,32.61,0.41
Afropithecus_turkanensis_22.4,32.56,0.86
Afropithecus_turkanensis_22.4,31.59,-0.27
Afrotarsius_libycus_48.6,12.93,18.07
Algeripithecus_minutus_56,-5.79,23.17
Allenopithecus_nigroviridis_0,20.683298,-1.752792
Allenopithecus_nigroviridis_0,21.85,2.58
Allenopithecus_nigroviridis_0,21.78519,2.57511
Alouatta_belzebul_0,-49.939159,-6.050186
Alouatta_belzebul_0,-49.94806,-6.15562
Alouatta_belzebul_0,-49.839525,-6.166422
Alouatta_belzebul_0,-34.924354,-7.015258
Alouatta_belzebul_0,-34.821677,-7.076763
Alouatta_belzebul_0,-35.004636,-6.230285
Alouatta_belzebul_0,-35.158889,-7.053056
Alouatta_belzebul_0,-49.321586,-4.215314
Alouatta_belzebul_0,-52.37,-3.67
Alouatta_belzebul_0,-54.67,-4
Alouatta_belzebul_0,-55.33,-4.42
Alouatta_caraya_0,-58.267865,-27.30868
Alouatta_caraya_0,-56.703164,-17.257283
Alouatta_caraya_0,-59.571685,-29.246005
Alouatta_caraya_0,-55.672138,-28.365934
Alouatta_caraya_0,-59.618299,-26.791938
Alouatta_caraya_0,-58.984083,-27.287178
Alouatta_caraya_0,-58.846606,-26.848138
Alouatta_caraya_0,-56.407301,-16.567587
Alouatta_caraya_0,-56.387787,-16.524088
Alouatta_caraya_0,-56.361694,-16.498113
Alouatta_caraya_0,-56.717717,-17.31583
Alouatta_caraya_0,-56.657181,-17.273285
Alouatta_caraya_0,-55.664978,-26.638253
Alouatta_caraya_0,-56.711209,-17.294676
Alouatta_caraya_0,-56.675528,-16.504653
Alouatta_caraya_0,-56.696147,-16.489127
Alouatta_caraya_0,-56.726971,-16.534625
Alouatta_caraya_0,-56.653747,-17.328156
Alouatta_caraya_0,-56.657433,-17.246983
Alouatta_caraya_0,-56.715164,-17.283605
Alouatta_caraya_0,-59.618393,-26.79322
Alouatta_caraya_0,-57.203239,-28.546382
Alouatta_caraya_0,-55.954269,-20.070423
Alouatta_caraya_0,-59.254611,-28.499061
Alouatta_caraya_0,-57.02607,-19.247632
Alouatta_caraya_0,-58.310995,-26.850256
Alouatta_caraya_0,-58.407395,-26.966902
Alouatta_caraya_0,-58.312408,-26.841713
Alouatta_caraya_0,-56.739397,-16.632271
Alouatta_caraya_0,-56.665695,-17.248373
Alouatta_caraya_0,-57.160991,-28.487158
Alouatta_caraya_0,-58.93874,-27.268236
Alouatta_caraya_0,-57.301889,-27.782287
Alouatta_caraya_0,-63.070294,-17.768954
Alouatta_caraya_0,-56.679465,-16.456223
Alouatta_caraya_0,-56.862633,-16.749437
Alouatta_caraya_0,-56.721512,-17.308016
Alouatta_caraya_0,-56.767426,-17.354317
Alouatta_caraya_0,-56.611519,-13.498476
Alouatta_caraya_0,-60.995924,-25.009452
Alouatta_caraya_0,-61.176893,-24.993895
Alouatta_caraya_0,-60.996094,-25.009395
Alouatta_caraya_0,-56.760193,-27.570773
Alouatta_caraya_0,-59.618185,-26.794951
Alouatta_caraya_0,-56.606612,-16.382012
Alouatta_caraya_0,-56.860202,-16.749706
Alouatta_caraya_0,-56.774853,-17.36461
Alouatta_caraya_0,-57.785048,-19.900799
Alouatta_caraya_0,-56.850707,-16.738452
Alouatta_caraya_0,-56.657147,-17.23149
Alouatta_caraya_0,-56.716146,-17.294639
Alouatta_caraya_0,-56.82457,-17.461485
Alouatta_caraya_0,-56.644175,-17.221403
Alouatta_caraya_0,-56.644027,-17.221322
Alouatta_caraya_0,-44.238539,-10.322953
Alouatta_caraya_0,-56.780166,-17.365959
Alouatta_caraya_0,-54.072041,-25.588682
Alouatta_caraya_0,-56.337891,-16.573023
Alouatta_caraya_0,-54.620121,-20.46971
Alouatta_caraya_0,-58.732021,-27.249199
Alouatta_caraya_0,-59.623892,-26.80249
Alouatta_caraya_0,-58.621358,-27.297092
Alouatta_caraya_0,-58.648162,-27.299569
Alouatta_caraya_0,-59.6094,-26.794236
Alouatta_caraya_0,-57.217359,-28.555906
Alouatta_caraya_0,-57.203027,-28.546495
Alouatta_caraya_0,-57.859222,-16.666194
Alouatta_caraya_0,-58.982942,-27.388067
Alouatta_caraya_0,-57.173456,-28.536053
Alouatta_caraya_0,-54.69658,-20.449391
Alouatta_caraya_0,-57.047798,-19.559628
Alouatta_caraya_0,-56.9557,-19.496693
Alouatta_caraya_0,-56.909382,-19.472662
Alouatta_caraya_0,-57.020435,-19.578672
Alouatta_caraya_0,-57.017498,-19.582512
Alouatta_caraya_0,-55.963127,-20.092278
Alouatta_caraya_0,-56.817756,-17.454536
Alouatta_caraya_0,-57.19539,-28.546424
Alouatta_caraya_0,-57.195476,-28.547027
Alouatta_caraya_0,-57.847022,-16.299269
Alouatta_caraya_0,-57.848694,-16.631897
Alouatta_caraya_0,-56.629914,-17.201814
Alouatta_caraya_0,-56.3777,-16.515526
Alouatta_caraya_0,-57.110367,-27.735376
Alouatta_caraya_0,-57.21405,-27.794312
Alouatta_caraya_0,-57.187614,-27.710317
Alouatta_caraya_0,-55.964476,-20.096303
Alouatta_caraya_0,-59.609156,-26.806759
Alouatta_caraya_0,-58.678409,-27.308414
Alouatta_caraya_0,-56.595475,-17.204405
Alouatta_caraya_0,-57.022133,-19.579847
Alouatta_caraya_0,-56.974068,-19.484476
Alouatta_caraya_0,-56.994366,-19.579887
Alouatta_caraya_0,-57.19552,-28.547473
Alouatta_caraya_0,-51.1763,-15.2044
Alouatta_caraya_0,-57.172717,-28.53494
Alouatta_caraya_0,-57.804833,-16.334806
Alouatta_caraya_0,-59.835315,-25.953463
Alouatta_caraya_0,-56.809302,-27.57614
Alouatta_caraya_0,-59.042541,-27.394271
Alouatta_caraya_0,-58.153038,-25.102078
Alouatta_caraya_0,-58.034935,-26.025319
Alouatta_caraya_0,-54.59,-29.32
Alouatta_caraya_0,-56.693962,-16.483166
Alouatta_caraya_0,-56.773609,-17.364155
Alouatta_caraya_0,-54.072003,-25.584214
Alouatta_caraya_0,-57.195168,-28.547979
Alouatta_caraya_0,-54.074352,-25.578238
Alouatta_caraya_0,-59.153074,-26.032099
Alouatta_caraya_0,-57.073975,-28.519383
Alouatta_caraya_0,-51.1723,-15.2014
Alouatta_caraya_0,-56.337226,-16.49704
Alouatta_caraya_0,-56.394906,-16.517934
Alouatta_caraya_0,-59.607164,-26.806972
Alouatta_caraya_0,-58.748016,-26.189948
Alouatta_caraya_0,-57.213535,-28.552108
Alouatta_caraya_0,-59.603456,-26.807218
Alouatta_caraya_0,-56.777344,-17.493198
Alouatta_caraya_0,-57.195678,-28.547256
Alouatta_caraya_0,-57.196112,-28.557687
Alouatta_caraya_0,-57.16432,-28.471457
Alouatta_caraya_0,-56.714713,-16.505253
Alouatta_caraya_0,-56.876389,-16.7575
Alouatta_caraya_0,-63.692293,-13.644152
Alouatta_caraya_0,-56.940336,-17.109846
Alouatta_caraya_0,-57.074937,-28.48359
Alouatta_caraya_0,-56.178589,-16.135539
Alouatta_caraya_0,-54.46548,-25.69009
Alouatta_caraya_0,-57.890739,-32.059194
Alouatta_caraya_0,-57.195563,-28.547257
Alouatta_caraya_0,-54.21019,-25.67542
Alouatta_caraya_0,-53.833333,-26.5
Alouatta_caraya_0,-54.21865,-25.67236
Alouatta_caraya_0,-59.46593,-28.74176
Alouatta_caraya_0,-54.16236,-25.6812
Alouatta_caraya_0,-59.6087,-26.8112
Alouatta_caraya_0,-58.1753,-25.12303
Alouatta_caraya_0,-58.12925,-25.17366
Alouatta_caraya_0,-57.19667,-28.556631
Alouatta_caraya_0,-58.08638,-28.03417
Alouatta_caraya_0,-58.037274,-28.016601
Alouatta_caraya_0,-57.051765,-19.320061
Alouatta_caraya_0,-56.249411,-19.587931
Alouatta_caraya_0,-54.54691,-25.63332
Alouatta_caraya_0,-54.41598,-27.31807
Alouatta_caraya_0,-57.99304,-25.08544
Alouatta_caraya_0,-58.18299,-25.11977
Alouatta_caraya_0,-54.48111,-25.69141
Alouatta_caraya_0,-54.51368,-25.65295
Alouatta_caraya_0,-54.4392,-25.69674
Alouatta_caraya_0,-54.53856,-25.76319
Alouatta_caraya_0,-54.104565,-12.144103
Alouatta_caraya_0,-54.46493,-25.64674
Alouatta_caraya_0,-54.14212,-25.68237
Alouatta_caraya_0,-51.0375,-14.3915
Alouatta_caraya_0,-54.5427,-25.65372
Alouatta_caraya_0,-54.15803,-25.57177
Alouatta_caraya_0,-54.24917,-25.67267
Alouatta_caraya_0,-57.625,-27.3183
Alouatta_caraya_0,-54.15333,-25.64776
Alouatta_caraya_0,-54.15306,-25.65732
Alouatta_caraya_0,-61.737671,-13.62797
Alouatta_caraya_0,-64.95,-14.78
Alouatta_caraya_0,-54.1597,-25.66078
Alouatta_caraya_0,-54.2253,-25.67811
Alouatta_caraya_0,-54.16804,-25.68067
Alouatta_caraya_0,-57.19598,-28.54776
Alouatta_caraya_0,-54.33514,-25.59762
Alouatta_caraya_0,-54.3185,-25.56984
Alouatta_caraya_0,-54.32937,-25.57998
